Date,Location,Latitude,Longitude,Previous GWL (m bgl),Rainfall (mm/day),Temperature (°C),Evaporation (mm/day),Population Density (people/km²),Surface Elevation (m),Land Use,Soil Type,River Distance (km),Tidal Influence (m),Slope (%),Aquifer Type,Irrigation Demand (mm/day),Predicted GWL (m bgl)
2022-01-01,Shivamogga,13.982004433646033,75.57296385230242,7.06,60.9,32.6,7.8,262,301,Urban,Loam,5.5,0.0,2.2,Unconfined,0.0,6.23
2022-01-02,Tumakuru,13.320523132355444,77.07101651072588,9.63,150.6,34.8,5.7,412,460,Agricultural,Clay,17.3,0.0,1.5,Confined,39.9,7.3
2022-01-03,Ballari,15.215782732538527,76.90524656627389,16.4,0.0,29.3,8.3,323,402,Barren,Silty,2.4,0.0,7.8,Unconfined,0.0,16.81
2022-01-04,Davanagere,14.468649499305277,75.98630483005417,8.03,174.6,38.6,5.5,636,361,Urban,Sandy,12.9,0.0,9.9,Confined,0.0,4.81
2022-01-05,Ballari,15.15533489221874,76.93090845603317,8.76,0.0,34.9,8.2,773,452,Barren,Loam,8.9,0.0,8.1,Confined,0.0,9.17
2022-01-06,Tumakuru,13.390628219477493,77.11374150239195,10.58,0.0,36.8,6.2,650,144,Barren,Loam,12.4,0.0,5.4,Confined,0.0,10.89
2022-01-07,Hubballi-Dharwad,15.323633726957357,75.09312383216496,9.74,131.2,23.6,6.1,744,238,Forest,Silty,8.8,0.0,1.8,Unconfined,0.0,7.42
2022-01-08,Tumakuru,13.393728180034683,77.19593581843185,21.43,0.0,22.1,8.3,380,380,Barren,Silty,14.9,0.0,0.5,Unconfined,0.0,21.84
2022-01-09,Mysuru,12.2371485813928,76.62675048298894,24.91,80.4,36.3,8.0,604,209,Forest,Silty,2.9,0.0,0.8,Unconfined,0.0,23.7
2022-01-10,Ballari,15.100110685493448,76.86630453804027,17.01,194.5,31.9,5.3,547,137,Agricultural,Sandy,4.7,0.0,3.8,Unconfined,35.1,13.74
2022-01-11,Vijayapura,16.8874826042467,75.6138463731457,12.44,148.8,26.0,8.9,298,286,Agricultural,Clay,11.6,0.0,7.6,Confined,33.6,10.24
2022-01-12,Tumakuru,13.20267595282519,77.14725828541931,8.94,11.7,32.8,6.8,508,490,Agricultural,Silty,14.4,0.0,3.9,Confined,40.6,9.45
